,n@5,n@10,n@20,p@5,p@10,p@20,mrr,map,name,p_method,p_ratio,measure,r_sum,n_docs,gini,time
61,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,gm_1.0,813568.265858,201641432,0.994768374645,1743.22262907
62,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,gm_1.5,274535.882086,201641432,0.996763480899,1743.22262907
63,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,gm_2.0,123390.622423,201641432,0.998095956281,1743.22262907
64,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,cm_10,1748737.0,201641432,0.998138696813,1442.32992887
65,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,cm_20,3691407.0,201641432,0.996879669765,1442.32992887
66,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,cm_50,9517661.0,201641432,0.994566761093,1442.32992887
67,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,cm_100,19223499.0,201641432,0.992453750046,1442.32992887
68,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,gm_0.5,3416098.16756,201641432,0.993343261009,1442.32992887
69,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,gm_1.0,813408.202607,201641432,0.995025051612,1442.32992887
70,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,gm_1.5,274502.295436,201641432,0.996880727348,1442.32992887
71,0.4589,0.4519,0.4441,0.5716,0.5466,0.5118,0.7031,0.2427,dcp_0.8,dcp,0.8,gm_2.0,123381.009611,201641432,0.998141852854,1442.32992887
72,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,cm_10,1748298.0,201641432,0.998227871987,1069.64936709
73,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,cm_20,3690062.0,201641432,0.997139406226,1069.64936709
74,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,cm_50,9512598.0,201641432,0.995349612494,1069.64936709
75,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,cm_100,19208723.0,201641432,0.993881353401,1069.64936709
76,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,gm_0.5,3413933.72526,201641432,0.994470029392,1069.64936709
77,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,gm_1.0,813030.050626,201641432,0.995721810498,1069.64936709
78,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,gm_1.5,274415.23337,201641432,0.997212109974,1069.64936709
79,0.4455,0.4393,0.4281,0.5541,0.5291,0.4943,0.7175,0.2062,dcp_0.9,dcp,0.9,gm_2.0,123352.970205,201641432,0.998278401942,1069.64936709
80,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,cm_10,1749002.0,201641432,0.9981038369,3524.41728091
81,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,cm_20,3692311.0,201641432,0.996761509512,3524.41728091
82,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,cm_50,9521874.0,201641432,0.994146451665,3524.41728091
83,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,cm_100,19236104.0,201641432,0.991519710677,3524.41728091
84,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,gm_0.5,3417893.93823,201641432,0.992637733323,3524.41728091
85,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,gm_1.0,813703.073037,201641432,0.994611375801,3524.41728091
86,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,gm_1.5,274563.018993,201641432,0.996695587574,3524.41728091
87,0.4735,0.4675,0.4559,0.5838,0.5568,0.5159,0.7472,0.2931,infinite_renyi_0.1,infinite_renyi,0.1,gm_2.0,123397.983519,201641432,0.998071606338,3524.41728091
88,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,cm_10,1749002.0,201641432,0.998101824316,3067.13146496
89,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,cm_20,3692311.0,201641432,0.996756696338,3067.13146496
90,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,cm_50,9521873.0,201641432,0.994138003916,3067.13146496
91,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,cm_100,19236089.0,201641432,0.991510232135,3067.13146496
92,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,gm_0.5,3417892.13774,201641432,0.992627659666,3067.13146496
93,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,gm_1.0,813702.856176,201641432,0.994603095949,3067.13146496
94,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,gm_1.5,274562.992655,201641432,0.996690447706,3067.13146496
95,0.4729,0.4683,0.4547,0.5824,0.5588,0.5155,0.7488,0.291,infinite_renyi_0.2,infinite_renyi,0.2,gm_2.0,123397.979489,201641432,0.998068787694,3067.13146496
96,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,cm_10,1749002.0,201641432,0.998101800978,2746.87045002
97,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,cm_20,3692309.0,201641432,0.996757125975,2746.87045002
